trial,respColour,colour,err_colour,err_colour_z,cue,respMem_1,sens_Resp,err_1,confMem_1,zconfMem_1,err1_cal,respMem_2,correctMem_2,err_2,confMem_2,zconfMem_2,err2_cal,response_1,correct_1,conf_1,zconf_1,subID,conf,zconf,errDiff,errDiff_cal,errDiff_cal_abs,cue_category,colour_name,lbound,ubound,colour_ans,cueID,colourCal,colourCue
190,31,279,21,-0.512770057129364,59,277,300,2,24,-0.500967924182178,23,16,0,97,26,-0.630069020571587,76,1,1,2,-1.70383355422054,48,4,-0.0752172867903938,95,53,53,desert,279,274.5,283.5,31,39,30,30
191,21,198,21,-0.512770057129364,53,192,177,6,19,-1.14323449364651,15,185,0,13,21,-1.26013804114317,8,1,1,3,-0.716103957570952,48,4,-0.0752172867903938,7,-7,7,sea,198,193.5,202.5,22,33,21,21
192,20,180,16,-0.803291335956199,35,179,164,1,27,-0.115607982503579,15,188,1,8,27,-0.50405521645727,24,1,1,3,-0.716103957570952,48,5,0.927679870414854,7,9,9,school,180,175.5,184.5,20,23,19,19
193,3,36,21,-0.512770057129364,32,31,57,5,26,-0.244061296396446,26,40,1,4,15,-2.01622086582908,17,1,0,3,-0.716103957570952,48,3,-1.07811444399564,-1,-9,9,school,36,31.5,40.5,4,21,3,3
194,14,135,52,1.28846187159701,57,122,187,13,54,3.35263149260381,65,80,0,55,25,-0.756082824685905,107,1,0,3,-0.716103957570952,48,3,-1.07811444399564,42,42,42,desert,135,130.5,139.5,15,37,14,14
195,40,306,6,-1.38433389360987,24,0,300,54,26,-0.244061296396446,60,134,0,172,31,0,166,1,1,5,1.25935523572823,48,5,0.927679870414854,118,106,106,city,306,301.5,310.5,34,15,33,33
196,33,189,17,-0.745187080190832,45,301,172,112,27,-0.115607982503579,129,246,0,57,37,0.756082824685905,74,2,1,3,-0.716103957570952,48,5,0.927679870414854,-55,-55,55,forest,189,184.5,193.5,21,28,20,20
197,40,351,42,0.707419313943343,60,2,309,11,19,-1.14323449364651,53,10,0,19,33,0.252027608228635,61,1,1,5,1.25935523572823,48,3,-1.07811444399564,8,8,8,desert,351,346.5,355.5,39,40,38,38
198,35,333,28,-0.106040266771795,49,312,305,21,30,0.269751959175019,7,257,0,76,27,-0.50405521645727,48,2,1,4,0.271625639078637,48,4,-0.0752172867903938,55,41,41,forest,333,328.5,337.5,37,30,36,36
199,1,324,21,-0.512770057129364,40,9,303,45,31,0.398205273067886,66,340,1,16,38,0.882096628800222,37,1,0,5,1.25935523572823,48,3,-1.07811444399564,-29,-29,29,school,324,319.5,328.5,36,25,35,35
200,6,45,8,-1.26812538207913,41,50,53,5,18,-1.27168780753938,3,203,0,158,24,-0.882096628800222,150,2,1,5,1.25935523572823,48,4,-0.0752172867903938,153,147,147,forest,45,40.5,49.5,5,26,4,4
201,35,324,19,-0.351143784557972,40,311,305,13,51,0.898552387365202,6,320,1,4,25,-0.850143923357177,15,1,1,3,0.0674987019605203,49,6,0.655562281375236,-9,9,9,school,324,319.5,328.5,36,25,35,35
202,3,315,5,-0.605529967420151,30,29,310,74,29,-0.718474403803259,79,43,0,88,35,-0.302547193336451,93,2,0,4,0.742485721565723,49,5,-0.0345032779671176,14,14,14,town,315,310.5,319.5,35,20,34,34
203,18,135,49,0.193969464432412,57,160,184,25,30,-0.644973186022875,24,118,1,17,98,3.14731220579412,66,2,0,2,-0.607488317644682,49,6,0.655562281375236,-8,42,42,desert,135,130.5,139.5,15,37,14,14
204,6,72,41,0.0486059313683092,1,56,31,16,27,-0.865476839364029,25,53,0,19,26,-0.795384250355104,22,2,0,1,-1.28247533724988,49,6,0.655562281375236,3,-3,3,lake,72,67.5,76.5,8,1,7,7
205,37,333,18,-0.369314226190985,49,332,315,1,30,-0.644973186022875,17,328,1,5,45,0.245049536684275,13,1,1,2,-0.607488317644682,49,6,0.655562281375236,4,-4,4,forest,333,328.5,337.5,37,30,36,36
206,20,180,2,-0.66004129231919,35,180,182,0,25,-1.0124792749248,2,189,1,9,24,-0.904903596359249,7,1,1,1,-1.28247533724988,49,4,-0.724568837309472,9,5,5,school,180,175.5,184.5,20,23,19,19
207,8,153,22,-0.296632459658934,8,69,175,84,12,-1.9679951060698,106,100,0,53,77,1.9973590727506,75,1,0,3,0.0674987019605203,49,1,-2.79476551533653,-31,-31,31,mountain,153,148.5,157.5,17,7,16,16
208,5,54,4,-0.623700409053164,51,46,58,8,34,-0.350968314901336,12,44,1,10,25,-0.850143923357177,14,1,0,4,0.742485721565723,49,6,0.655562281375236,2,2,2,sea,54,49.5,58.5,6,31,5,5
209,12,126,51,0.230310347698437,52,110,177,16,39,0.0165377740005866,67,87,0,39,57,0.902165612709146,90,1,0,2,-0.607488317644682,49,6,0.655562281375236,23,23,23,sea,126,121.5,130.5,14,32,13,13
210,11,306,5,-0.605529967420151,24,100,311,154,37,-0.130464661560183,149,88,0,142,54,0.737886593702928,137,0,0,5,1.41747274117093,49,4,-0.724568837309472,-12,-12,12,city,306,301.5,310.5,34,15,33,33
211,4,288,15,-0.423825551090023,4,35,303,107,20,-1.37998536382672,92,33,0,105,44,0.190289863682202,90,2,0,1,-1.28247533724988,49,1,-2.79476551533653,-2,-2,2,lake,288,283.5,292.5,32,4,31,31
212,21,216,45,0.12128769790036,3,188,171,28,32,-0.497970750462106,17,206,1,10,35,-0.302547193336451,35,2,0,2,-0.607488317644682,49,6,0.655562281375236,-18,18,18,lake,216,211.5,220.5,24,3,23,23
